RordGrp,VendorID,RordGrp,,CostPctsVndr,,RordGrp,VendorID,RordGrp
TRO,TEXASBKMN-i,TRO,,TRO,,TRO,TEXASBKMN,TRO
TRO,TEXASBKMN-r,TRO,,TRO-i,,TRO,TEXASBKNON,TRO
TRO,TEXASBKNON-i,TRO,,TRO-r,,TRO,TEXASSTATI,TRO
TRO,TEXASBKNON-r,TRO,,CDC,,TRO,TRO,TRO
TRO,TEXASSTATI-i,TRO,,CDC-f,,CDC,CDC,CDC
TRO,TEXASSTATI-r,TRO,,CDC-n,,BS,BS,BS
TRO,TRO,TRO,,AllNewGoods,,HRO,HRO,HRO
TRO,TRO-i,TRO,,BS,,HRO,IDAURORA,HRO
TRO,TRO-r,TRO,,HRO,,HRO,IDBENDONPU,HRO
ANG,ANG,ANG,,HRO-i,,HRO,IDBKSALESI,HRO
CDC,CDC,CDC,,HRO-r,,HRO,IDCROWNB&C,HRO
CDC,CDC-f,CDC,,,,HRO,IDCROWNPOI,HRO
CDC,CDC-n,CDC,,,,HRO,IDEUROGRA,HRO
BS,BS,BS,,,,HRO,IDFOUNDIMG,HRO
BS,BS-i,BS,,,,HRO,IDKIKKERLA,HRO
BS,BS-r,BS,,,,HRO,IDLBMAYASS,HRO
HRO,HRO,HRO,,,,HRO,IDMELISSA&,HRO
HRO,HRO-i,HRO,,,,HRO,IDMODERNPU,HRO
HRO,HRO-r,HRO,,,,HRO,IDNOSTIMAG,HRO
HRO,IDAURORA-i,HRO,,,,HRO,IDPARRAGON,HRO
HRO,IDAURORA-r,HRO,,,,HRO,IDPEEPERS ,HRO
HRO,IDBENDONPU-i,HRO,,,,HRO,IDSALESCOR,HRO
HRO,IDBENDONPU-r,HRO,,,,HRO,IDTOYSMITH,HRO
HRO,IDBKSALESI-i,HRO,,,,HRO,IDUNEMPLOY,HRO
HRO,IDBKSALESI-r,HRO,,,,HRO,IDUSPLAYIN,HRO
HRO,IDC&DVISIO-i,HRO,,,,HRO,IDWISHPETS,HRO
HRO,IDC&DVISIO-r,HRO,,,,HRO,IFDISCONFO,HRO
HRO,IDCROWNB&C-r,HRO,,,,HRO,IFPROPERRE,HRO
HRO,IDCROWNPOI-i,HRO,,,,,,
HRO,IDCROWNPOI-r,HRO,,,,,,
HRO,IDEUROGRA-i,HRO,,,,,,
HRO,IDEUROGRA-r,HRO,,,,,,
HRO,IDFOUNDIMG-r,HRO,,,,,,
HRO,IDHOORAYFO-i,HRO,,,,,,
HRO,IDHOORAYFO-r,HRO,,,,,,
HRO,IDKIKKERLA-i,HRO,,,,,,
HRO,IDKIKKERLA-r,HRO,,,,,,
HRO,IDLBMAYASS-i,HRO,,,,,,
HRO,IDLBMAYASS-r,HRO,,,,,,
HRO,IDMELISSA&-i,HRO,,,,,,
HRO,IDMELISSA&-r,HRO,,,,,,
HRO,IDMODERNPU-i,HRO,,,,,,
HRO,IDMODERNPU-r,HRO,,,,,,
HRO,IDNOSTIMAG-r,HRO,,,,,,
HRO,IDPARRAGON-i,HRO,,,,,,
HRO,IDPARRAGON-r,HRO,,,,,,
HRO,IDPEEPERS-r,HRO,,,,,,
HRO,IDSALESCOR-i,HRO,,,,,,
HRO,IDSALESCOR-r,HRO,,,,,,
HRO,IDTOYSMITH-i,HRO,,,,,,
HRO,IDTOYSMITH-r,HRO,,,,,,
HRO,IDUNEMPLOY-i,HRO,,,,,,
HRO,IDUNEMPLOY-r,HRO,,,,,,
HRO,IDUSPLAYIN-i,HRO,,,,,,
HRO,IDUSPLAYIN-r,HRO,,,,,,
HRO,IDWISHPETS-i,HRO,,,,,,
HRO,IDWISHPETS-r,HRO,,,,,,
HRO,IFDISCONFO-i,HRO,,,,,,
HRO,IFDISCONFO-r,HRO,,,,,,
HRO,IFPROPERRE-i,HRO,,,,,,
HRO,IFPROPERRE-r,HRO,,,,,,